ref_keys,pmids,methods_section,anchor_text,anchor_occurrences_in_PAPER_md,surrounding_context,placement_note
depmap_tsherniak2017;chronos_dempster2021;ccle_barretina2012,28753430;34930405;22460905,2.1,"DepMap 24Q4 Public (figshare article 27993248; depmap.org
serves a bot-verification interstitial",1,"Thorsson immune-landscape feature tables, leukocyte fraction, ABSOLUTE purity and TCGA-CDR clinical endpoints from GDC; DepMap 24Q4 Public (figshare article 27993248; depmap.org serves a bot-verification interstitial, so the release is resolved through the figshare API and the payload asserted not to be HTML). Non-cardiac fibrosis coh",insert citation marker(s) at end of the anchor sentence
cptac_ellis2013;pdc_lindgren2021;cptac_portal_edwards2015,24124232;33560848;25873244,2.1,Protein abundance (Section 3.12) came from eight CPTAC tandem-mass-tag proteome studies in the Proteomic Data Commons,1,"l genes were dropped rather than assigned to the first; and log scale was detected from the values rather than assumed. Protein abundance (Section 3.12) came from eight CPTAC tandem-mass-tag proteome studies in the Proteomic Data Commons: ccRCC (PDC000127), ovarian (PDC000110), breast (PDC000120), pancreatic (PDC000270), endometrial (PDC000125), lung aden",insert citation marker(s) at end of the anchor sentence
reichart2022;kuppe2022;cellxgene_census,35926050;35948637;39607691,2.1,"Human heart
single-nucleus atlases (Reichart dilated/arrhythmogenic cardiomyopathy; Kuppe myocardial
infarction) via CELLxGENE Census.",1,"iopathic pulmonary fibrosis), GSE126848 and GSE130970 (liver, NASH/NAFLD) and GSE142025 (kidney, diabetic nephropathy). Human heart single-nucleus atlases (Reichart dilated/arrhythmogenic cardiomyopathy; Kuppe myocardial infarction) via CELLxGENE Census.  ### 2.2 Differential expression and cross-cohort replication  Each cohort was analysed separately, on its own scale, w",insert citation marker(s) at end of the anchor sentence
geo_barrett2013;geo_edgar2002,23193258;11752295,6,All data are public: GSE116250 and GSE141910 (Gene Expression Omnibus),1," does not substitute for them: it measures the receiver, not the circulating signal.  ## 6. Data and code availability  All data are public: GSE116250 and GSE141910 (Gene Expression Omnibus), TCGA PanCanAtlas expression and the Thorsson immune landscape, GTEx v8 median tissue expression, Human Protein Atlas p",insert citation marker(s) at end of the anchor sentence
gse116250_sweet2018,30419824,2.1,"Heart failure (HF) transcriptomes: GSE116250 (discovery; left-ventricular RNA-seq,
submitter-supplied RPKM",1,"t analysis module (Section 2.10); parameter values given here are the values used, not defaults.  ### 2.1 Data sources  Heart failure (HF) transcriptomes: GSE116250 (discovery; left-ventricular RNA-seq, submitter-supplied RPKM; 37 dilated cardiomyopathy, 13 ischaemic cardiomyopathy, 14 non-failing donor; the primary contrast pools the 50 failin",insert citation marker(s) at end of the anchor sentence
gse57345_liu2015b,25528681,2.1,"GSE141910 (validation; MAGNet left ventricle, per-sample log₂-scale
normalised values",1," cardiomyopathy, 14 non-failing donor; the primary contrast pools the 50 failing against the 14 non-failing hearts) and GSE141910 (validation; MAGNet left ventricle, per-sample log₂-scale normalised values; 166 dilated cardiomyopathy, 28 hypertrophic cardiomyopathy and 166 non-failing donors, with 6 peripartum cardiomyopath",insert citation marker(s) at end of the anchor sentence
gse5406_hannenhalli2006;gse1869_kittleson2005,16952980;15557369,2.1,"GSE5406 (194 failing, 16 non-failing; GPL96), GSE57345 (177 failing, 136 non-failing; GPL11532) and GSE1869 (31 failing, 6 non-failing; GPL96)",1,"ross-platform replication (Section 3.11) used three further cohorts, all Affymetrix microarray and none used elsewhere: GSE5406 (194 failing, 16 non-failing; GPL96), GSE57345 (177 failing, 136 non-failing; GPL11532) and GSE1869 (31 failing, 6 non-failing; GPL96). Probe-level values were collapsed to genes by maximum mean intensity with a deterministic tie-break; probes annotated ",insert citation marker(s) at end of the anchor sentence
gse134692_sivakumar2019;gse126848_suppli2019;gse130970_hoang2019;gse142025_fan2019,31423451;30653341;31467298;31578193,2.1,"Non-cardiac fibrosis cohorts for Section
3.9: GSE150910 and GSE134692 (lung, idiopathic pulmonary fibrosis), GSE126848 and
GSE130970 (liver, NASH/NAFLD) and GSE142025 (kidney, diabetic nephropathy).",1,"erification interstitial, so the release is resolved through the figshare API and the payload asserted not to be HTML). Non-cardiac fibrosis cohorts for Section 3.9: GSE150910 and GSE134692 (lung, idiopathic pulmonary fibrosis), GSE126848 and GSE130970 (liver, NASH/NAFLD) and GSE142025 (kidney, diabetic nephropathy). Human heart single-nucleus atlases (Reichart dilated/arrhythmogenic cardiomyopathy; Kuppe myocardial infarction) via CE",insert citation marker(s) at end of the anchor sentence
cox_1972,,2.8,"Survival analysis used Cox
models with the receptor z-scored within tumour type and stratified by type",1,"rded as a failure, and any secondary read conditional on the conjunction was not performed when the conjunction failed. Survival analysis used Cox models with the receptor z-scored within tumour type and stratified by type; copy-number loss was tested against 1,000 loci matched on chromosome arm and overlapping-segment length.  ### 2.9 Depe",insert citation marker(s) at end of the anchor sentence
numpy_harris2020;scipy_virtanen2020,32939066;32015543,2.10,"All are plain
Python using only NumPy, pandas and SciPy.",1,"d conjunction criteria of Sections 2.7–2.8; and the DepMap dependency test with release resolution and lineage mapping. All are plain Python using only NumPy, pandas and SciPy.  The expression floor, the matched-random null, and the conjunction rule are implemented as assertions that halt execut",insert citation marker(s) at end of the anchor sentence
chaffin2022;koenig2022;litvinukova2020,35732739;35959412;32971526,n/a,,0,,NO ANCHOR - do NOT insert. Methods 2.1 names Reichart and Kuppe as the atlases used; Litvinukova/Chaffin/Koenig are not used by this analysis. Fetched and verified for reference only.
gse150910_furusawa2020,32602730,3.9,"in the largest cohort tested, lung IPF with 103 cases and 103 controls
(GSE150910), PTN is significantly down",1,"t.  The marginality does not rescue PTN, because the direction is inconsistent in a way the threshold does not capture: in the largest cohort tested, lung IPF with 103 cases and 103 controls (GSE150910), PTN is significantly down (−0.556, FDR 2.5×10⁻⁴). The two lung cohorts disagree in sign. A ligand whose fibrosis response reverses between two co",insert citation marker(s) at end of the anchor sentence
